बचाओ!	Help!
अब उनके तीन बच्चे हैं।	Now they have three children.
इसको अपना घर ही समझिए।	Please make yourself at home.
मुझे अपनी कौपी दिखाईए।	Please show me your notebook.
आप विदेश में कबसे हैं?	How long have you been abroad?
मैं कल अमेरिका जाऊँगी।	I will go to America tomorrow.
सारे फूल मुरझा गए हैं।	The flowers have all withered.
उनसे ग़लती हो गई होगी।	They must have made a mistake.
शब्दकोष पास में ही है।	The dictionary is close at hand.
पानी कल बंद हो गया था।	The water was cut off yesterday.
भारत की आबादी क्या है?	What is the population of India?
वह काम खतम कर चुकी है।	She has already finished the work.
कितने सैंडविच बचे हैं?	How many sandwiches are there left?
समस्या पर बहस जारी है।	The problem is being discussed now.
तुम कौनसे जूते पहनोगी?	Which shoes are you going to put on?
टीवी का रिमोट कहाँ है?	Where's the remote control for the TV?
थोड़ा और नमक डाल दोगे?	How about adding a little bit more salt?
मुझे केक अच्छा लगता है।	I like cake.
उसे पैसों की ज़रूरत है।	He needs money.
अभी क्या समय हो रहा है?	What time is it?
मुझे बहुत प्यास लगी है।	I'm very thirsty.
उसने तुम्हें धोखा दिया।	She betrayed you.
पक्षी घोसले बनातें हैं।	Birds build nests.
मैं गाड़ी चला सकता हूँ।	I can drive a car.
मुझे सिरदर्द हो रहा है।	I have a headache.
एक बार फिरसे कोशिश करो।	Try it once again.
तुम अच्छे से सोये क्या?	Did you sleep well?
मुझे विश्वास नहीं होता!	I can't believe it!
बैट्समेन आऊट हो गया था।	The batter was out.
मेरे सवालों का जवाब दो।	Answer my questions.
मैं उससे पूछना भूल गया।	I forgot to ask him.
मैं उससे मिलना चाहूँगा।	I'd like to see her.
मैं तुम्हें खुश करूँगा।	I'll make you happy.
हमें टैक्स भरना पड़ेगा।	We must pay the tax.
उसको अपने-आप जाकर बताओ।	Go tell him yourself.
वह मुझपर गुस्सा हो गया।	He got angry with me.
मेरे पास कुछ दोस्त हैं।	I have a few friends.
मैं क्योटो गया हुआ हूँ।	I have been to Kyoto.
